symbol,date,expiry,option_type,strike,open_option,high_option,low_option,close_option,ltp_option,settle_price_option,no_of_contracts,turnover_in_lacs_option,premium_turnover_in_lacs,open_interest,change_in_oi,open_ul,high_ul,low_ul,close_ul,shares_traded_ul,turnover_in_cr_ul,log_returns_ul,vol_close_to_close,vol_parkinson,k_minus_s_open,k_minus_s_close,days_to_expiry,implied_volatility,moneyness_close,d1,d2,delta,gamma,theta,vega,rho,vanna,charm,volga
NIFTY,2011-08-24,2011-09-29,PE,4800,92.65,128.4,80.25,121.6,127.0,121.6,84395,206921.02,-,4351450,332400,4934.35,4962.4,4875.3,4888.9,129410652.0,5241.5,-0.0121980003566282,0.2058625463202649,0.1979079321110822,-134.35000000000036,-88.89999999999964,36,0.2842349852403423,0.0184,0.305461128623192,0.2161958940760691,-0.3800074854765657,0.0008724797,-2.3079,5.8461,-195.2303182420112,-0.0028961345,-0.0006,1.3583
NIFTY,2011-08-25,2011-09-29,PE,4800,100.0,142.55,100.0,131.35,128.85,131.35,145407,358224.6,-,4944750,593300,4914.65,4915.85,4825.05,4839.6,184913414.0,7921.11,-0.010135256621546,0.2054945138336545,0.1996955272705723,-114.64999999999964,-39.60000000000037,35,0.270610506152673,0.0082,0.1971617289445163,0.1133640009959925,-0.421850489304975,0.0009647777,-2.2668,5.8636,-208.36387371596567,-0.0016390774,0.0,0.4843
NIFTY,2011-09-15,2011-10-25,PE,5000,169.35,213.95,139.1,145.85,139.5,145.85,10975,28404.5,-,980400,47650,5062.35,5091.45,4967.45,5075.7,153648925.0,5935.88,0.0125196788054421,0.2487333505929018,0.2015521582578165,-62.35000000000037,-75.69999999999982,40,0.2909940367314921,0.015,0.2610349626296432,0.1647036112907806,-0.3970327726967793,0.0007885881,-2.3566,6.4788,-236.82950237371963,-0.0021823924,-0.0002,0.9572
NIFTY,2011-09-16,2011-10-25,PE,5000,132.0,142.95,112.0,130.25,128.1,130.25,29475,75625.62,-,1572000,591600,5123.35,5143.6,5068.1,5084.25,225187238.0,8379.56,0.0016830795463243,0.23543730176589,0.2044721022216052,-123.35000000000036,-84.25,39,0.2750343963970978,0.0167,0.2902395693879616,0.2003368388633639,-0.3858164832036532,0.000836793,-2.2414,6.3567,-223.5113942391916,-0.0027860673,-0.0004,1.3439
NIFTY,2011-09-19,2011-10-25,PE,5000,140.4,164.1,138.1,152.1,149.5,152.1,21130,54417.11,-,1745400,173400,5068.4,5068.4,5019.25,5031.95,115737842.0,4042.27,-0.0103399430552699,0.2271909237518133,0.1971437000212916,-68.39999999999964,-31.94999999999981,36,0.2855523991370554,0.0064,0.1708576252930316,0.0811786511762133,-0.4321678583762312,0.0008712526,-2.4641,6.2132,-229.48737388175925,-0.0011177046,0.0002,0.3018
NIFTY,2011-09-20,2011-10-25,PE,5100,185.0,187.45,123.0,127.5,123.0,127.5,16574,43493.58,-,813850,173200,5042.55,5149.9,5035.25,5140.2,146599496.0,5504.69,0.0212844062741385,0.2364131988434386,0.1934791850588602,57.44999999999982,-40.19999999999982,35,0.2499738123534069,0.0079,0.2020728146473355,0.1246654817996296,-0.4199299001079929,0.0009823835,-2.2218,6.2217,-219.2077500479413,-0.0019493728,-0.0,0.627
NIFTY,2011-10-17,2011-11-24,PE,5100,129.0,158.0,126.1,136.25,135.15,136.25,18520,48499.67,-,721650,205650,5156.2,5160.2,5084.5,5118.25,130460983.0,5029.13,-0.0027413180363212,0.2798242451470287,0.1866708598625555,-56.19999999999982,-18.25,38,0.2403297726035286,0.0036,0.1519652897705816,0.0744204430946587,-0.4396071561954437,0.0009936214,-2.0595,6.5127,-248.433519938269,-0.0012211811,0.0003,0.3065
NIFTY,2011-10-18,2011-11-24,PE,5000,127.85,143.85,121.55,128.45,124.55,128.45,38681,99285.95,-,1385200,399300,5049.45,5057.5,5011.05,5037.5,125550565.0,5148.86,-0.0159026564777495,0.2752088759278495,0.1881912087009299,-49.44999999999982,-37.5,37,0.2483227463796557,0.0075,0.1981462639505503,0.1190836930011375,-0.421465314476386,0.0009821967,-2.1054,6.2741,-228.24251117325767,-0.0018759456,0.0,0.5962
NIFTY,2011-10-19,2011-11-24,PE,5100,156.0,156.0,110.85,112.9,114.75,112.9,37802,98735.78,-,1104550,324800,5080.45,5148.05,5075.3,5139.15,117468754.0,4776.09,0.0199777688693985,0.2842975861656786,0.1829449729278818,19.550000000000185,-39.14999999999964,36,0.2231055651961483,0.0076,0.2145562948062814,0.1444890207542766,-0.4150566359959106,0.0010826979,-1.9498,6.2923,-221.5172036641188,-0.0025248656,-0.0,0.8743
NIFTY,2011-10-20,2011-11-24,PE,5000,97.95,130.7,97.4,101.65,101.5,101.65,64644,165376.45,-,2058550,291150,5086.55,5099.0,5033.95,5091.9,119333986.0,4582.47,-0.0092366542887417,0.2442770077591968,0.1838606966719602,-86.55000000000018,-91.89999999999964,35,0.2454796372400674,0.0182,0.3406777052462134,0.2646620466126941,-0.366673112170675,0.0009725787,-2.0816,5.9357,-188.7806838286033,-0.0040586712,-0.0007,2.1802
NIFTY,2011-11-21,2011-12-29,PE,4700,95.25,129.35,91.65,122.8,123.0,122.8,59592,143260.55,-,3944500,9450,4873.8,4873.8,4764.8,4778.35,154119333.0,5509.53,-0.0263228799691894,0.2056649914676916,0.1483293271955874,-173.80000000000018,-78.35000000000036,38,0.2782377619475046,0.0165,0.287026444590603,0.1972501994090919,-0.3870460359554788,0.0008924444,-2.161,5.9026,-205.3292395848109,-0.0027140756,-0.0004,1.2011
NIFTY,2011-11-22,2011-12-29,PE,4800,147.05,159.6,122.8,144.9,144.5,144.9,92906,229496.47,-,4778350,229700,4794.85,4854.0,4782.55,4812.35,174212435.0,6275.86,0.0070902316693196,0.2050989070982047,0.1536305559909604,5.149999999999636,-12.350000000000364,37,0.2670303720474947,0.0026,0.1323495815059352,0.0473307580455372,-0.4473538959469194,0.0009665718,-2.1865,6.0592,-232.9199178941993,-0.0007009535,0.0004,0.1421
NIFTY,2011-11-23,2011-12-29,PE,4700,120.25,209.0,120.25,156.6,159.75,156.6,155802,378523.39,-,4031350,-212300,4779.5,4779.5,4640.95,4706.45,178819371.0,6199.31,-0.0222516219539206,0.2173446000261749,0.1529402850201933,-79.5,-6.449999999999818,36,0.2909729736619868,0.0014,0.1146643437181928,0.0232830145730551,-0.4543555885275254,0.0009215186,-2.3674,5.8581,-226.356347127564,-0.0003171331,0.0005,0.0537
NIFTY,2011-11-24,2011-12-29,PE,4700,154.5,195.0,115.55,123.15,123.35,123.15,174519,423955.11,-,5038950,1007600,4707.55,4771.1,4639.1,4756.45,213363083.0,7327.52,0.0105676833350268,0.210862841238645,0.1634971884592291,-7.550000000000182,-56.44999999999982,35,0.2738330261736161,0.0119,0.2397382343559481,0.1549426151582527,-0.4052665962012126,0.0009611105,-2.2335,5.7095,-196.65016503677208,-0.0021933842,-0.0002,0.7745
NIFTY,2011-12-16,2012-01-25,PE,4600,98.0,154.25,77.85,143.3,153.9,143.3,26841,63213.42,-,1680550,34950,4752.5,4818.85,4628.2,4651.6,202060039.0,7284.93,-0.0201646551703794,0.2590184672763491,0.198080494075166,-152.5,-51.60000000000037,40,0.294018974689769,0.0112,0.2195687378877488,0.1222360039621154,-0.413103520401029,0.0008601615,-2.204,5.9969,-226.2895700378569,-0.001619068,-0.0,0.5474
NIFTY,2011-12-19,2012-01-25,PE,4600,161.0,181.5,145.1,150.2,153.55,150.2,22339,53225.3,-,1739200,58650,4623.15,4623.15,4555.9,4613.1,176447660.0,6302.29,-0.0083111642291312,0.2431166157106933,0.2134930768285013,-23.14999999999964,-13.100000000000364,37,0.2875261931488537,0.0028,0.132203170498592,0.0406587575236709,-0.4474117967197151,0.0009364619,-2.2569,5.8085,-224.4486239983266,-0.0005592314,0.0004,0.1086
NIFTY,2011-12-20,2012-01-25,PE,4500,107.35,146.65,105.2,139.05,134.0,139.05,40898,94605.82,-,2561200,521000,4635.8,4637.25,4531.15,4544.2,195304596.0,6279.01,-0.015048387672854,0.2477111744368789,0.2102587415849839,-135.80000000000018,-44.19999999999982,36,0.3011955893543707,0.0098,0.202761871791435,0.1081700856833935,-0.4196605803775721,0.0009092258,-2.3332,5.5776,-201.8043225981462,-0.001403593,-0.0,0.4062
