symbol,date,expiry,option_type,strike,open_option,high_option,low_option,close_option,ltp_option,settle_price_option,no_of_contracts,turnover_in_lacs_option,premium_turnover_in_lacs,open_interest,change_in_oi,open_ul,high_ul,low_ul,close_ul,shares_traded_ul,turnover_in_cr_ul,log_returns_ul,vol_close_to_close,vol_parkinson,k_minus_s_open,k_minus_s_close,days_to_expiry,implied_volatility,moneyness_close,d1,d2,delta,gamma,theta,vega,rho,vanna,charm,volga
NIFTY,2010-11-25,2010-12-30,PE,4500,3.2,3.5,3.0,3.45,3.5,3.45,76,171.12,-,329450,-2250,5883.95,5907.1,5780.35,5799.75,371673464.0,12228.45,-0.0113155379925759,0.1993599547058776,0.1690679023502573,-1383.9499999999998,-1299.75,35,0.3883704591573851,0.2537,2.2098444384124134,2.089580955141173,-0.013557980207574,4.97677e-05,-0.3459,0.6234,-7.870713860606438,-0.0018676846,-0.001,7.4125
NIFTY,2010-11-25,2010-12-30,PE,4600,3.0,3.5,3.0,3.2,3.15,3.2,49,112.77,-,256350,-1050,5883.95,5907.1,5780.35,5799.75,371673464.0,12228.45,-0.0113155379925759,0.1993599547058776,0.1690679023502573,-1283.9499999999998,-1199.75,35,0.3554911541260385,0.2318,2.203920829118008,2.093838809594516,-0.0137649562120185,5.50861e-05,-0.3208,0.6316,-7.961966051095008,-0.0020714878,-0.001,8.1993
NIFTY,2010-11-25,2010-12-30,PE,4800,3.05,5.0,2.15,3.2,3.15,3.2,4774,11465.55,-,491900,92800,5883.95,5907.1,5780.35,5799.75,371673464.0,12228.45,-0.0113155379925759,0.1993599547058776,0.1690679023502573,-1083.9499999999998,-999.75,35,0.2991153672061157,0.1892,2.1407173375464725,2.0480927439092262,-0.0161484197558066,7.51035e-05,-0.3096,0.7246,-9.287628212365712,-0.0027625278,-0.0011,10.6209
NIFTY,2010-11-25,2010-12-30,PE,4900,6.5,7.4,4.25,4.9,5.5,4.9,1733,4250.5,-,492100,14000,5883.95,5907.1,5780.35,5799.75,371673464.0,12228.45,-0.0113155379925759,0.1993599547058776,0.1690679023502573,-983.9499999999998,-899.75,35,0.2902942835153198,0.1686,1.9736178190526736,1.883724777792464,-0.0242126080155284,0.0001091314,-0.4238,1.0218,-13.935463432992414,-0.0036920213,-0.0014,13.0865
NIFTY,2010-11-25,2010-12-30,PE,5000,9.0,9.4,5.3,6.85,8.0,6.85,2325,5819.85,-,1351900,67650,5883.95,5907.1,5780.35,5799.75,371673464.0,12228.45,-0.0113155379925759,0.1993599547058776,0.1690679023502573,-883.9499999999998,-799.75,35,0.2772674735111851,0.1484,1.8269146861426435,1.7410555499080864,-0.0338562988814912,0.0001509941,-0.5349,1.3504,-19.48569674887663,-0.0047213847,-0.0018,15.4912
NIFTY,2010-11-25,2010-12-30,PE,5100,11.0,13.25,6.15,8.55,8.5,8.55,1007,2572.17,-,485100,16750,5883.95,5907.1,5780.35,5799.75,371673464.0,12228.45,-0.0113155379925759,0.1993599547058776,0.1690679023502573,-783.9499999999998,-699.75,35,0.2580976129163049,0.1286,1.7086783120713225,1.6287553487732094,-0.0437552768066655,0.0001999172,-0.6136,1.6643,-25.153931941044576,-0.0058479392,-0.002,17.9457
NIFTY,2010-11-25,2010-12-30,PE,5200,15.0,16.6,9.0,11.9,10.5,11.9,6132,15978.4,-,899800,110200,5883.95,5907.1,5780.35,5799.75,371673464.0,12228.45,-0.0113155379925759,0.1993599547058776,0.1690679023502573,-683.9499999999998,-599.75,35,0.2439907460880362,0.1092,1.5459673951510915,1.4704127891850265,-0.0610562211888568,0.0002755844,-0.756,2.1688,-35.09693684014808,-0.0072776435,-0.0023,20.2064
NIFTY,2010-12-20,2011-01-27,PE,5200,18.0,20.0,10.0,11.45,12.0,11.45,3345,8719.5,-,731500,51350,5926.85,5985.0,5900.25,5947.05,121821490.0,7312.39,-0.0002858151635993,0.1714307153934539,0.1800034206385415,-726.8500000000004,-747.0500000000002,38,0.2712204345476149,0.1342,1.637161485850806,1.5496494527617222,-0.0507983660413424,0.000200688,-0.7152,2.0042,-32.643595338338855,-0.0059676297,-0.002,18.7474
NIFTY,2010-12-20,2011-01-27,PE,5300,18.1,23.6,14.0,16.15,17.3,16.15,3331,8857.21,-,598000,9650,5926.85,5985.0,5900.25,5947.05,121821490.0,7312.39,-0.0002858151635993,0.1714307153934539,0.1800034206385415,-626.8500000000004,-647.0500000000002,38,0.2608681977830244,0.1152,1.4724222710277757,1.3882504924729784,-0.0704534413672428,0.0002695633,-0.8888,2.5893,-45.30225214395423,-0.0071808459,-0.0022,20.2887
NIFTY,2010-12-21,2011-01-27,PE,5200,9.35,9.45,8.0,8.25,8.1,8.25,3720,9688.32,-,679600,-51900,5960.4,6007.45,5960.05,6000.65,126542972.0,6485.84,0.0089724984041726,0.1684840814227423,0.1778197852614945,-760.3999999999996,-800.6499999999996,37,0.2700836532087928,0.1432,1.7673358872492495,1.68134494076765,-0.0385859965500117,0.0001621828,-0.5835,1.5989,-24.30757705058957,-0.0052097198,-0.0018,17.5908
